# DevOps 平台 Lessons Learned Log

> **说明**：本文件由 AI 自动维护，按时间倒序记录实战中发现的隐蔽风险与排障结论。
> **【强制更新规范】**
> 1. **单一主表原则**：所有新增经验必须**倒序**统一追加到下方的 Markdown 主表格中。**绝对严禁**在主表格之外另起任何零散的 `列表`、`次级小表格` 或 `### 分割的小标题`。
> 2. **记录门槛**：不记成功的流水账，只记录由于框架机制、脏数据或跨端约束导致的非直觉类障碍。
> 3. **字段约定**：The Defense 栏必须使用粗体加粗一句话结论，随后跟上落地措施。

| Timestamp | Domain | Phenomenon | Root Cause | Universal Rule (The Defense) |
| 2026-04-14 | Script/Config | `ModuleNotFoundError: No module named 'devops_config'` | 独立脚本 (`wecom_risk_bot.py`) 仍遗留废弃的相对路径引用，且 `config.py` 的 Pydantic 中遗漏了 `NotifiersSettings` 配置树。 | **环境平移与 Pydantic 强类型防线**: 1. 所有脚本引入必须采用 `from devops_collector.config import settings`。2. 任何涉及环境变量（如 Webhook）的功能开发，**必须**先行在 `config.py` 落盘对应的 Pydantic Schema，严禁以纯字典形式绕道获取，防范生产环境配置脱节。 |
| 2026-04-13 | Plugin/ZenTao | `Instance deleted` error during product/execution sync loop | Iterating over ORM objects while performing `session.commit()` or `session.rollback()` in the same loop clears context. | **嵌套事务与对象重拉取律 (Nested Transaction & Re-query Rule)**: 1. 必须使用 `begin_nested()` 包裹循环内事务处理逻辑。 2. 循环中应迭代 ID 列表而非对象列表，并在每次迭代开始时通过 `session.get()` 重新拉取活性对象。 |
| 2026-04-13 | System/Scripts | `InvalidRequestError` when initializing mappers in standalone scratch scripts | Missing explicit imports of related plugin models (e.g. SonarProject) in isolated execution environments leads to incomplete registry. | **全模型加载强制律 (Mandatory Global Model Loading)**: 任何独立运行的辅助脚本 (Scratch/Verification) 必须首先调用 `PluginLoader.load_models()`，以确保 SQLAlchemy Registry 获取完整的跨插件关联定义，防止映射初始化失败。 |
| 2026-04-13 | Data/SQL | `UndefinedColumn` error when querying `sys_sync_logs` in diagnostic scripts | Assuming standard field names like `start_time` without verifying the model inheritance from `TimestampMixin`. | **Mixin 字段取证原则 (Mixin Field Verification)**: 在编写针对系统公共表（如日志表）的 SQL 时，必须首先核实其继承自 Mixin 的物理列名（如 `created_at`/`updated_at`），严禁凭直觉臆测。 |
| 2026-04-10 | AI/Agent | "Unexpected argument" error in Makefile after AI command modification | AI confused `uv sync` syntax with `uv export` (using `--without` incorrectly), leading to broken builds. | **指令校验取证律 (The Law of Command Validation)**: 凡涉及修改 Makefile/CI 等自动化指令，Agent **必须强制执行 `--help`** 进行取证，严禁凭关联记忆或惯性类比编写命令。同时已将此规则硬化至 `AGENTS.md` 第 70 行。 [Codified into Skill: chaos-sentinel at 2026-04-10] |
| 2026-04-10 | Dependency | Flask/Safety vulnerabilities reported in production security audit | `detect-secrets` (a dev tool) pulled in Flask as a sub-dependency, and the safety scanner checked the lockfile instead of the production manifest. | **生产依赖物理脱敏 (Production Dependency Pruning)**: 1. `requirements.txt` 必须显式通过 `uv export --no-dev --no-hashes` 构造。 2. 必须在 `contexts.md` 14.3 节建立脱敏审计红线，确保渗透类或开发类工具及其影子依赖不进入气隙生产环境。 |
| 2026-04-10 | UI/Streamlit | Streamlit page detection fails with duplicate index prefixes | Having two files like `4_Compliance_Audit.py` and `4_Quality_Monitor.py` causes Streamlit to ignore one or fail routing. | **Streamlit 页面索引唯一性 (Page Index Uniqueness)**: 必须确保 `pages/` 目录下每个文件的索引前缀 (如 `0_`, `1_`) 在全局范围内唯一，建议使用 `0_` 分配给最核心的监控页面。 |
| 2026-04-10 | Docker/Volume | Windows Docker volume sync delay for new files | Newly created files in the host (dashboard/pages/*.py) may not sync immediately or at all to the container with `.:/app` mount on Windows/WSL2. | **容器卷同步强制刷新 (Docker Volume Force Refresh)**: 1. 在 Windows 环境下新增 Python 脚本到挂载目录后，建议通过 `docker cp` 强制注入容器。 2. 必须重启该容器以触发 Streamlit 的页面重新扫描。 |
| 2026-04-10 | Data/Pandas | `AttributeError: 'float' object has no attribute 'strftime'` | SQL aggregation `max(timestamp)` might be returned as float (timestamp) in some DB adapters or Pandas versions, breaking formatted display. | **日期格式化鲁棒性 (Datetime Formatting Resilience)**: 在 UI 展示时间戳前，必须强制显式调用 `pd.to_datetime(field)`。严禁假设数据库返回的对象直接支持 `.strftime()` 方法。 |
| 2026-04-10 | Audit/Infra | Audit logs delayed visibility in integration tests after async refactor | Audit writes are now moved to a background thread with batching (timeout=3s), meaning they aren't available instantly after a service call in tests. | **异步审计可见性防御 (Async Audit Visibility)**: 集成测试中验证审计日志时，必须引入 `retry(timeout=5)` 或 `time.sleep(3)` 轮询机制，或在测试环境中强制将 `batch_size` 设为 1。 |
| 2026-04-10 | RabbitMQ/Batch | `basic_ack` must use correct channel context in batch callbacks | Pika's BlockingConnection does not support multi-threading well; the batch consumer thread must manage its own connection and channel. | **MQ 消费者线程隔离权 (Consumer Thread Isolation)**: 任何耗时的批量处理或独占线程消费者必须持有独立的 MessageQueue 实例（即独立的 Connection），严禁跨线程共用 BlockingConnection 句柄。 |
| 2026-04-09 | dbt/SQL | `invalid input syntax for numeric` for quoted JSONB | Raw data parsed from JSONB often contains physical quotes (e.g., `"123.4"`) which breaks native PG casting. | **防御性 JSONB 提取规范 (Defensive JSONB)**: All extractions from JSONB **MUST** use `nullif(trim(both '"' from field), '')` before casting. This is the ultimate isolation layer against non-standard upstream serialization. |
| 2026-04-09 | Plugin/ZenTao | `dbt build` crash with `invalid input syntax for type timestamp: "0000-00-00 00:00:00"` | ZenTao uses zero-date strings to represent NULL, which directly crashes PostgreSQL's `::timestamp` cast. | **禅道零日期拦截律 (Zero-Date Attack Defense)**: Any timestamp parsing for ZenTao **MUST** filter zero-date strings via dual `nullif`. Format: `nullif(nullif(field, ''), '0000-00-00 00:00:00')::timestamp`. |
| 2026-04-09 | MDM/SCD2 | Historic snapshots lost; impossible to track user/org changes over time | Staging models used `where is_current = true`, erasing the historical data at the ingestion layer. | **Staging 1:1 物理镜像原则 (Staging Purity Redline)**: NEVER filter business status (like `is_current`) in the staging layer! Staging must remain a 1:1 physical mirror to support SCD Type 2 historical lineage. |
| 2026-04-09 | QA/Chaos | Resilience logic (e.g. AuditLog fallback) not triggered in standard tests | Unit/Integration tests fail to simulate real-world physical starvation (DB pool exhaustion or network cuts), leading to 'dead' defensive code. | **混沌拨测常态化 (Chaos Injection as CI)**: Use `Chaos Sentinel` to actively inject physical faults (e.g., locking the DB pool) to verify resilience reporting and fallback triggers in a simulated production environment. |
| 2026-04-08 | Plugin/GitLab | Connecting to GitLab or syncing large projects returns 404 or SSL Timeout | Specific project IDs (like 1) may not exist on private instances, and high-concurrency/large data transfers can hit SSL protocol violations (`UNEXPECTED_EOF`). | **GitLab 鉴权与连通性拨测规范 (GitLab Auth & Connectivity Probe)**: 1. **鉴权验证优先**：验证 Token 时优先调用 `/version` 或 `/user` 接口，而非随机 Project ID。 2. **SSL 容错与重试**：对内网 GitLab 需设置 `verify_ssl=False` 并通过 `urllib3.disable_warnings` 消除日志噪声，Worker 必须具备指数退避重试逻辑。 |
| 2026-04-08 | Plugin/ZenTao | Discovery script crashes with AttributeError: 'ZenTaoSettings' object has no attribute 'username' | The Pydantic model for ZenTao settings used `account` instead of `username`, causing a field mismatch in the discovery logic. | **配置模型字段一致性 (Settings Field Alignment)**: 脚本中访问 `settings` 必须严格对齐 `config.py` 中的 Pydantic 定义。ZenTao 插件统一使用 `account/password` 术语，严禁在脚本中臆测为 `username`。 |
| 2026-04-08 | System/Scripts | Running standalone scripts from subdirectories leads to ModuleNotFoundError | Python's `sys.path` does not automatically include the project root when executing scripts directly (e.g., `python scripts/xxx.py`). | **脚本运行路径注入 (Script Path Injection)**: 为确保脚本在 Docker/Local 均能正确加载总包，脚本头部**必须**包含 `sys.path.append(os.getcwd())`，或始终通过 `python -m` 模式运行。 |
| 2026-04-08 | Database/Session | Scripts fail with ModuleNotFoundError: No module named 'devops_collector.models.database' | `SessionLocal` isn't always exported from a consistent module; some parts use shared config engines while others use isolated sessions. | **脚本数据库会话模式 (Standalone Script DB Sessioning)**: 独立脚本建议通过 `create_engine(settings.database.uri)` 自行构造 `sessionmaker`，而非依赖全局 `SessionLocal` 变量，以提高脚本的容器内运行韧性。 |
| 2026-04-03 | Arch/Refactor | 集成测试 Collection 阶段报 `partially initialized module (most likely due to a circular import)` 及 `ModuleNotFoundError` | 在模块迁移和依赖规范化（uv）期间，`worker/transformer/client` 间的绝对路径引用与双重自注册引发环形锁死，且由于导入了错误模块路径的 `logger` 引发血案。 | **消除环形导入的解耦规范 (Circular Import Evasion)**：1. 同一包内的横向子模块间（如 Client/Worker/Transformer）必须使用相对导入 (`from .client import ...`)，在入口文件再统一暴露给外部，切忌滥用完整绝对路径互相引用。2. 插件级的 `register` 动作必须统一收拢在 `__init__.py` 等包级别入口，严禁各子模块在其底部“抢跑”级别的多头注册。 |
| 2026-04-03 | QA/Testing | 以 `us-native` 提速后，长期的 `make verify` 集成测试在半途静默死锁 (长达几分钟毫无输出) | 集成测试采用的是原生内存 SQLite，当测试执行速度呈指数级加快时，数据库连接释放未及时完成便触发新一张表的建立或级联写入，触发外键冲突造成的资源永久死锁无抛错。 | **挂起探测防呆 (Hanging Deadlock Breaker)**：面对无错误直接静默挂起的测试，首先考虑 SQLite/MemoryDB 资源隔离或竞态锁问题，这在提速的新技术栈下为高发风险。测试框架必须配置如 `pytest-timeout` 在 60s 内不吐出新用例则强制转态输出挂起栈。 |
| 2026-04-03 | Audit/Stable | 集成测试报错 `no such table: sys_audit_logs` | 测试环境使用私有内存 Engine 且未通过 `models` 包加载触发 `AuditLog` 的表注册，导致 `create_all`漏创建审计表。 | **审计写入韧性 (Audit Ingestion Resilience)**：审计引擎的 `INSERT` 必须包裹在 `try-except` 中。若表缺失则仅记录 Error 日志而非中断业务事务，确保测试与迁移场景的鲁棒性。同时集测 Fixture 必须强制导入 `models` 总包。 |
| 2026-04-03 | Audit/Logic | 审计监听器触发 `TypeError: Object is not JSON serializable` 或 `AttributeError` | 监听器未过滤 `RelationshipProperty`，尝试对未加载或复杂的关联对象执行 JSON 序列化；或访问了不具备 `.prop` 的动态属性。 | **审计属性防御检查 (Defensive Attribute Auditing)**：1. **类型过滤**：必须通过 `isinstance(attr.prop, ColumnProperty)` 严格限定仅审计物理列。 2. **属性探针**：访问 `attr.prop` 前必须 `hasattr(attr, 'prop')`，杜绝因 SQLAlchemy 内部描述符导致的崩溃。 |
| 2026-04-03 | Database/SQLite | SQLite 执行 `drop_all` 报 `Can't sort tables for DROP` 循环外键冲突 | 虽然设置了 `use_alter=True`，但若未配置全局命名规范，SQLAlchemy 无法在 DDL 层面标记受影响的约束，导致删表顺序计算失败。 | **全局命名规范硬化 (Table Naming Convention)**：必须在 `Base.metadata` 中显式配置 `NAMING_CONVENTION`（含 ix/uq/ck/fk/pk 模板）。这是 SQLite 处理复杂循环依赖下 `create_all` / `drop_all` 的前置物理要求。 |
| 2026-04-03 | MDM/RBAC | 权限管理集成测试报 `KeyError: 'full_name'` 或字段缺失 | `TeamMemberService` 返回的实体投影未包含 `full_name`，但 Portal API 契约要求展示此字段，导致前端/集测解包失败。 | **实体-服务契约对齐 (Model-Service Alignment)**：Service 层在处理“扁平化”视图或投影查询时，必须显式映射所有在 API Schema 中定义的必填字段，尤其是 `full_name` 等涉及 UI 展示的级联计算属性。 |
| 2026-04-03 | Migration/Alembic | autogenerate 迁移包含大量无关 drop_table，执行时因视图依赖报错 | Autogenerate 将代码中不存在但 DB 中存在的历史表标记为 DROP。 | **Autogenerate 审计红线**：严禁盲执行 autogenerate 产出。单表新增场景优先手写纯净迁移。执行前用 --sql 预览。 |
| 2026-04-03 | Migration/Alembic | Alembic 警告 Revision present more than once，exit 0 但 DDL 未执行 | Windows 卷挂载 + Docker 共享 versions/ 目录时路径重复检测导致静默跳过。 | **容器内迁移物理验证**：迁移后必须通过 psql 验证表是否存在。遇 duplicate 警告可直接 psql 执行 DDL。 |
| 2026-04-03 | Audit/Architecture | 对 Collector 批量导入表启用审计监听后审计日志与业务数据 1:1 膨胀 | SQLAlchemy after_insert 对每行 flush 触发回调。 | **审计分级策略**：仅对管理表启用字段级追踪。采集表通过 sys_sync_logs 粗粒度记录。生产环境审计写入建议异步队列。 |
| 2026-03-24 | MDM/Scripts | `import_employees.py` 报错 `IntegrityError` (NOT NULL FK) | MDM Schema 重构后，外键 (`org_id`) 已从业务 String 迁为 Integer ID，但旧脚本仍传入 String 编码。 | **数据初始化脚本主键一致性 (Import Script Alignment)**：1. 任何 MDM 架构重构后，必须同步审计所有 `scripts/init_*.py`。2. 必须实现业务码到内部 ID 的解析逻辑（如 `select(Org.id).where(Org.code == code)`）再赋值给 FK。 |
| 2026-03-24 | Docker/Infra | 构建时拉取 `uv` 工具或 Python 包失败 (Ghcr.io / Pypi 不通) | Dockerfile 中硬编码了互联网源，无法适配受限/离线环境。 | **构建工具链私服化 (Nexus-First Build)**：1. 核心工具镜像（如 `astral-sh/uv`）必须预拉取至内网 Nexus 并打标。2. Dockerfile 必须使用 `ARG` 接收 `UV_IMAGE` 和 `PIP_INDEX_URL`。3. `pip install` 必须带上 `--trusted-host` 以支持本地 HTTP 仓库。 |
| 2026-03-24 | RabbitMQ | 容器健康检查反复失败导致重启 | 在资源受限或启动较慢的环境下，默认的健康检查时间不足。 | **MQ 健康检查韧性 (RabbitMQ Healthcheck Triage)**：1. 提高 `retries` (60) 和 `start_period`。2. 调整 `RABBITMQ_VM_MEMORY_HIGH_WATERMARK_RELATIVE` (0.7) 减少内存水线误报导致的强制停机。 |
| 2026-03-24 | Testing/Integrity | OKR 服务测试报错 `IntegrityError` (Foreign Key missing) | 测试用例在向 `gitlab_commits` 插入数据前，未先在当前 Session 注入对应的 `GitLabProject` 记录。 | **测试依赖级联注入 (Cascade Dependency Seeding)**：服务层集成测试必须显式构造并 `add()` 所有强制外键父项。禁绝假设数据库中已有现成底数，确保测试在 `--reuse-db` 场景下依然幂等。 |
| 2026-03-24 | Registry/Tool | `uv` 访问内网 HTTP 私服报 `400 Bad Request` 但 `pip` 正常 | `uv` 对 TLS 和 User-Agent 的处理较严格，对协议不匹配的内网仓库兼容性不如 `pip`。 | **私服兼容性降级策略 (Registry Fallback)**：在复杂的内网/代理环境下，Dockerfile 的包安装阶段优先使用 `pip` 配合 `--trusted-host`。仅在镜像拉取阶段使用 `uv` 镜像，利用其二进制文件提取的便捷性。 |
| 2026-03-24 | Testing/ORM | `StatementError` 与 `AttributeError: hex` (UUID 解析错误) | 高版本 SQLAlchemy 2.0.41 对 `UUID(as_uuid=True)` 列进行查询过滤时 (`user_id=str(user_id)`) 会触发严格绑定失败。 | **UUID 强类型防御**：如果模型列被定义为真正的 UUID 对象，在执行查询、修改、新增前，**必须**将其从 String 强制转换为 Python 原生的 `uuid.UUID` 对象，严禁直接传入字符串。 |
| 2026-03-24 | Testing/DB | 内存数据库执行 `drop_all` 时报 `IntegrityError` 外键冲突 | 在启用 `PRAGMA foreign_keys=ON` 的 SQLite 中，具有复杂闭环外键约束的表在 `Base.metadata.drop_all` 时因销毁时序乱序触发拦截。 | **SQLite 销毁防御时序**：在所有 fixture 的 TearDown 块中，执行 `drop_all(bind=engine)` 前必须通过 `conn.exec_driver_sql("PRAGMA foreign_keys=OFF")` 显式关闭外键检查。 |
| 2026-03-21 | Testing/SQLAlchemy | `@hybrid_property` 在 Mock 环境引发 `NotImplementedError` | `@hybrid_property` 会在类级别生成 SQL 表达式描述符。当测试中以 `MagicMock` 替代 Session、或以 SQLite 替代 PG 时，SQLAlchemy 尝试将 Python 逻辑（如 `sorted()`、`.get()`）翻译为 SQL Clause，因无对应 SQL 实现而崩溃。 | **`@hybrid_property` 使用守则**：若属性逻辑中含有纯 Python 运算（排序、字典取值、lambda 等），必须改用普通 `@property`。只有当属性需要同时支持 `Model.attr == value` 这类 SQL 级别过滤时，才需要 `@hybrid_property` + `@attr.expression` 双修，且 expression 分支必须返回合法 SQL Clause。 |
| 2026-03-21 | Testing/SQLAlchemy | 单元测试用 `MagicMock` 模拟 Session 时，SQLAlchemy ORM 操作符（如 `.filter(Col.in_([...]))`）抛 `NotImplementedError` | SQLAlchemy ORM 查询、比较和 IN 等操作符作用在 Column 对象上时，实际上生成 SQL AST 节点。`MagicMock` 不实现这套协议，调用时无法生成有效 SQL 而报错。 | **测试 SQLAlchemy ORM必用 in-memory DB**：1. 含 ORM 查询逻辑的测试，必须使用真实 `create_engine("sqlite:///:memory:")` + `sessionmaker`，不得使用 `MagicMock` 替代 Session。2. 若只测纯数据转换逻辑（无 DB 操作），才允许 Mock Session。 |
| 2026-03-21 | Testing/FK | 测试中向 `ProjectProductRelation` 传入字符串 `"PROD1"` / `"ORG1"` 作为 FK 值，触发 `IntegrityError: NOT NULL constraint` 或类型不匹配 | `ProjectProductRelation.product_id`、`org_id` 均为 Integer FK（指向 `mdm_products.id`、`mdm_organizations.id`）。重构后这些列已从 String 业务编码迁移为 Integer 自增 PK，但旧测试 seed 未同步更新。 | **测试 FK Seed 规程**：1. 测试 seed 数据必须先依次创建父表记录（`flush()` 获取自增 ID），再以整数 ID 建立关联——严禁用字符串直接赋值 Integer FK。2. 每次重构 FK 类型后，必须通过 grep 检索所有测试文件中对该 FK 的直接赋值，统一修正。 |
| 2026-03-21 | Testing/Pydantic | 向 Pydantic v2 Model 的 `list[MyModel]` 字段传入 `MagicMock()` 实例，触发 `ValidationError: string type expected` | Pydantic v2 在 Model 实例化时对所有字段进行严格类型验证，`MagicMock` 实例无法通过类型守卫，即使在测试中也不例外。 | **Pydantic v2 测试 Mock 规则**：1. Pydantic Model 字段严禁使用 `MagicMock` 填充——必须构造合法的 Schema 实例（即使只填最小必填字段）。2. 若 Schema 构造代价高，可用 `model_construct()` 跳过验证（仅在确认不需要验证逻辑的场景使用）。 |
| 2026-03-21 | Python/Regex | Issue 描述解析 (`parser.py`) 无法正确提取优先级、测试类型、反馈等字段 | 正则表达式在 Markdown 模板中，字段前有 `**` 加粗标记，原 pattern 硬编码了 `**用例优先级`]: ` 格式。MarkDown 渲染中 `**` 可能位置不固定，且"反馈"行的序号前缀（`1.`）与 pattern 不一致。 | **Markdown 解析正则健壮性规则**：1. 提取语义标签时，正则必须使用 `.*?` 吸收中间的 Markdown 格式字符（如 `**`、`*`、`-`），格式：`r"关键词.*?:\s*\[(.*?)\]"`。2. 行前缀（序号）不稳定时，不应在 pattern 中硬编码 `\d+\.`，应用更宽松的前瞻截取。3. 所有 Python 正则必须使用 `r"..."` raw string，避免 `\\` 双重转义导致的调试困难。 |
